name,content,author,region,people,start,end
Demonstracja 13 II 1982 w Poznaniu,"['""Demonstracja 13 II 1982 w Poznaniu"", jedna z największych poznańskich manifestacji w okresie stanu wojennego; wzywały do niej wcześniej rozrzucone w mieście ulotki, nawołujące do oddania hołdu ofiarom stanu wojennego przez złożenie kwiatów oraz zapalenie zniczy o godzinie 17.00 pod pomnikiem Poznańskiego Czerwca ’56. O godz. 10.00 pomnik otoczyła milicja, wobec czego zaczęto składać kwiaty pod pobliskim pomnikiem Adama Mickiewicza; funkcjonariusze legitymowali i spisywali podchodzące tam osoby, ok. godz. 11.00 zatrzymano na kilka godz. dwóch studentów Wydz. Prawa i Administracji Uniwersytetu im. Adama Mickiewicza, którzy chcieli zapalić znicze; ok. godz. 12.00 MO otoczyła również pomnik A. Mickiewicza, o godz. 12.30 cały plac; studenci zaczęli zatem zapalać znicze przed budynkiem Collegium Minus UAM; milicjanci nakazywali gasić je i zabierać kwiaty. W tym czasie w okolicach pl. A. Mickiewicza zgromadziło się już ok. 1000 osób, większość z nich składała kwiaty w pobliżu wieży Zamku (wówczas Pałacu Kultury). Po godz. 13.00 w rejon placu skierowano dodatkowo pluton pułku manewrowego, który rozpoczął dokonywanie „intensywnych legitymowań”; kolejny oddział ZOMO skierowano ok. godz. 14.00; godzinę później, gdy liczba zgromadzonych osób wynosiła od 1,5 do 3 tys., na parking przed Zamkiem oraz przed Collegium Minus podjechały milicyjne „budy”, punkt dowodzenia MO został umieszczony w wieży Zamku; o godz. 16.00 liczbę funkcjonariuszy w okolicach pomnika szacowano na 100-150, jednocześnie zwiększała się liczba poznaniaków przybywających na plac. Gdy funkcjonariusze ZOMO zaczęli wyciągać z tłumu pojedyncze osoby, a usiłujących złożyć kwiaty bić pałkami, ok. godz. 17.00, zebrani zaczęli gwizdać i skandować: „gestapo, gestapo”; ZOMO ruszyło na manifestantów, spychając ich w stronę budynku KW PZPR, jednak zgromadzeni szybko przesunęli się z powrotem w stronę placu; jeszcze przed godz. 17.00 kordony ZOMO zablokowały przejścia przez pl. Mickiewicza od strony Auli Uniwersyteckiej i od strony Zamku, w rejon placu skierowano dodatkowo cztery plutony z zadaniami „nasilenia legitymowania, oddziaływania perswazyjnego, a także zatrzymań”. Manifestanci zaczęli śpiewać hymn państwowy i skandować: „Leszek, Leszek”, „Solidarność, Solidarność”, „Wolności i chleba”, „Precz z faszyzmem”. Ok. godz. 17.10 nastąpił kolejny atak ZOMO, który spowodował ucieczkę zgromadzonych w stronę Ronda Kopernika (Kaponiery) i Akademii Ekonomicznej, funkcjonariusze bili uciekających na oślep, goniąc niektórych aż do wnętrza hotelu Merkury. Demonstranci zebrani w Collegium Minus, śpiewający hymn i \'\'Boże coś Polskę\'\', zostali zaatakowani przez ZOMO nadchodzące od strony budynku NOT-u. Ok. 17.15 wstrzymano ruch samochodowy na ulicach dochodzących do placu i z radiowozu przez megafon zapowiedziano przystąpienie do działań rozpraszających: „Prosimy rozejść się do domów. Nie gromadzić się! Nie zatrzymywać się! Milicja przystąpi do akcji!”; gromadzący się ponownie na placu tłum odpowiedział gwizdami i skandowaniem „Solidarność, Solidarność”. Atak ZOMO między godz. 17.25 a 17.35 spowodował ucieczkę demonstrantów w stronę Kaponiery, stojących z drugiej strony placu zepchnięto ul. Stalingradzką (obecnie al. Niepodległości) w stronę budynku opery; na Rondzie Kopernika użyto gazów łzawiących, powodując ucieczkę ludzi w stronę Mostu Teatralnego, ul. Pułaskiego i ul. Dąbrowskiego. Ok. godz. 18.00 przystąpiono do rozpraszania demonstrantów na tyłach Zamku, atakowani uciekli w stronę kościoła oo. Dominikanów. Ok. godz. 18.20-18.30 rejony wokół pl. A. Mickiewicza, Kaponiery i ul. Stalingradzkiej opustoszały, atakowano manifestantów zgromadzonych w okolicach opery i ul. Wieniawskiego, ok. godz. 18.45 ZOMO z użyciem gazów łzawiących zaatakowało od strony NOT-u i Mostu Teatralnego, demonstrujących spychano w stronę Collegium Maius i kościoła oo. Dominikanów, gdzie na dziedzińcu ułożono krzyż z kwiatów i zapalonych zniczy. Do wieczora manifestacja została spacyfikowana. Różne są szacunki co do liczby uczestników demonstracji: redakcja niezależnego pisma „BIS” oszacowała, że przez cały dzień kwiaty złożyło ok. 20-40 tys. osób; w godz. 17.00-19.00 w pobliżu pomnika znajdowało się kilka tys, osób. Wg oficjalnych danych tego dnia zatrzymano 194 osoby, które zostały przewiezione do komend MO, gdzie skierowano ich sprawy do Kolegiów ds. Wykroczeń (przez cały dzień i noc orzekały dwa zespoły: przy ul. Matejki i ul. Słowackiego), ukarano m.in. 17 studentów UAM, 4 studentów Akademii Rolniczej, wszyscy zostali postawieni przed komisjami dyscyplinarnymi swoich uczelni. W pobliżu Mostu Teatralnego na ul. Roosvelta został pobity ze skutkiem śmiertelnym Wojciech Cieślewicz, z brutalnością ZOMO wiąże się też najprawdopodobniej śmierć pracownika HCP Jerzego Karwackiego. Trudno ustalić liczbę osób, które odniosły obrażenia – niektórzy zgłosili się do pogotowia ratunkowego i do dyżurującego szpitala przy ul. Lutyckiej, jednak w obawie przed represjami nie wszyscy to zrobili.']",['Agnieszka Łuczak'],Wielkopolska,,,
Demonstracja 13 X 1982 w Dabrowie Gorniczej,"['""Demonstracja 13 X 1982 w Dąbrowie Górniczej"", 13 X 1982 o godz. 19.00, po zakończonej mszy św. w intencji represjonowanych członków „S”, grupa ok. 200 os. (z 2 tys. będących w kościele) w sprzeciwie wobec delegalizacji „S” ruszyła w kierunku budynku KM PZPR w Dąbrowie Górniczej. Manifestanci wznosili okrzyki \'\'Niech żyje Solidarność\'\'. Jak podaje „Wolny Związkowiec” akcja ta była prowokacją SB, która wokół tego budynku zgromadziła siły porządkowe (pierwotnie demonstranci mieli pozostać na placu kościelnym). Doszło do starć z ZOMO i SB. Tego samego dnia pracownik Huty Katowice i członek „S” Włodzimierz Jagodziński zginął porażony prądem podczas próby zawieszenia transparentu z napisem „Solidarność” na słupie wysokiego napięcia. Wg „Wolego Związkowca” podczas demonstracji zatrzymano 167 os., w większości przypadkowych. Wg raportów SB zatrzymano 57 demonstrantów, z których 50 Sąd Rejonowy w Dąbrowie Górniczej skazał na grzywny od 6 do 18 tys. złotych; 3 os. (m.in. Andrzej Koroniewski, Jerzy Szymoniak) skazano na kary pozbawienia wolności od 1 do 3 l.', '', 'Tomasz Szafron', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Tomasz Szafron'],Śląsko-Dąbrowski,,,
Deo et Patriae,"['„Deo et Patriae”, pismo Związku Narodowego Katolików, powstałe III 1980 z\xa0inicjatywy Romualda Szeremietiewa. Do druku przygotowano 1 nr.\xa022 I\xa01981 jego makietę przejęto podczas przeszukania mieszkania Tadeusza Jandziszaka. Format\xa0A5,\xa028\xa0s., na okładce wizerunek orła w\xa0koronie. Kolejne nr.\xa0nie powstały z\xa0powodu aresztowania twórców. Artykuły przygotowali m.in.\xa0ks.\xa0B.\xa0Ślęzak (pseudonim), Romuald Szeremietiew, Kamil Chwalik (prawdopodobnie ps.\xa0T. Jandziszaka). W\xa0piśmie zamieszczono także wiersze autorstwa Józefa Mączki, Kazimierza Wierzyńskiego. W\xa0założeniu „DeP” miał być kwartalnikiem o\xa0profilu katolickim i\xa0konserwatywnym. Tematyka art. odnosiła się do sytuacji katolików w\xa0PRL, sytuacji społ.-polit. (krytykowano m.in.\xa0lewicę laicką). Kolejne nr.\xa0planowano poświęcić zbrodni katyńskiej oraz rocznicy bitwy warszawskiej (1920).', 'Grzegorz Wolk', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Grzegorz Wolk'],Mazowsze,,,
Dezerter,"['„Dezerter”, podtytuł: „Dwutygodnik informacyjny Ruchu «Wolność i Pokój»”, pismo wydawane w Warszawie 27 IX 1987 – 20 VI 1988, kontynuacja „Serwisu Informacyjnego Ruchu «WiP»”. Ukazało się 20 n-rów (nr 1 jako 47, 19/20 jako 65/66), obj. 4–8 s., format A4 i A5, druk na offsecie, nakł. kilkaset egz.; dwutygodnik, sygnowane przez Wydawnictwo Dezerter. Wydania spec.: ulotka informacyjna Ruchu WiP pt. Dezerter (20 XII 1987), Dokumenty uchwalone przez Ogólnopolskie Spotkanie WiP 25 VI 1988 w Warszawie (VI 1988). W redakcji: Gwido Zlatkes (redaktor nacz.), Tomasz Gleb, Jerzy Kolarzowski, Piotr Odrzywołek. Organizacja druku na tzw. dojściach Krzysztof Siemieński i Wiesław Bieliński. Publikowano informacje i komentarze dot. ustaw o służbie wojskowej, dyskusje programowe oraz informacje o osobach represjonowanych za działalność w Ruchu WiP. Kolportowane w gł. ośrodkach Ruchu WiP: Warszawa, Gdańsk, Kraków, Szczecin, Wrocław, Częstochowa, Gorzów Wielkopolski, Poznań, Górny Śląsk.']",['Anna Grażyna Kister'],Mazowsze,,,
Dni bez prasy,"['""Dni bez prasy"", 12 VIII 1981 KKP „S” podjęła uchwałę nr 86/81 ws. strajku prasowego. Początkowo planowany na 13 II 1981, zawieszony na apel premiera gen. Wojciecha Jaruzelskiego o „dziewięćdziesiąt spokojnych dni”, miał być odpowiedzią na „trwającą od kilku dni bezprzykładną kampanią propagandową” skierowaną przeciwko Związkowi, „połączoną z uniemożliwieniem lub drastycznym ograniczeniem możliwości repliki ze strony NSZZ «S»”. Kampanię tę zapoczątkowało oświadczenie rządowe z 7 VIII 1981 o rzekomym zerwaniu przez Związek negocjacji z władzami – de facto jedynie je zawieszono. Związek oskarżano o arogancję, naruszanie zasad rządzących rokowaniami, podejmowanie rozmyślnych działań godzących w interes państwa, społeczeństwa i narodu. Zarzucano mu „pomiatanie rządem” i organizowanie krzykliwych akcji protestacyjnych. Na tym samym posiedzeniu (10-12 VIII 1981) KKP zaapelowała o powstrzymanie się od strajków i demonstracji ulicznych (w szczególności o czasowe zawieszenie terminu marszu gwiaździstego), wezwała do stosowania w razie potrzeby innych form protestu, zwróciła się do związkowców, by wobec pogarszającej się sytuacji w kraju przepracowali dobrowolnie 8 wolnych sobót, oraz zaaprobowała podwyżki cen chleba.', 'Postulat przeprowadzenia strajku prasowego 13 VIII 1981 został poparty przez Radę Główną Episkopatu Polski, która apelowała do rządzących ws. środków masowego przekazu: „Ci, którzy ich obecnie używają, powinni powstrzymać się od jątrzenia i drażniącej propagandy”. Protest został zorganizowany (zgodnie z decyzją KKP) 19-20 VIII 1981 pn. Dni bez prasy. Polegał na wstrzymaniu w całym kraju druku i kolportażu gazet codziennych.', 'Wg danych MSW protestowały działy gazetowe zakładów graficznych w Szczecinie, Warszawie, Krakowie, Lublinie, Olsztynie, Koszalinie, Białymstoku, Koszalinie, Gdańsku, Rzeszowie i Wrocławiu. Strajk w Domu Słowa Polskiego w Warszawie, w obawie przed działaniami władz, rozpoczęto już dzień wcześniej. W efekcie nie wydrukowano zaplanowanych 2 mln egz. 6 gazet codziennych, w tym „Trybuny Ludu”, wstrzymywano również kolportaż prasy, np. 19 VIII 1981 „S” przeprowadziła akcję w rozdzielni Prasa-Książka-Ruch w Sochaczewie, dystrybuującej prasę na ternie woj. skierniewickiego.', 'W ocenie Związku akcja, której podporządkowała się olbrzymia większość zakładów graficznych, zakończyła się sukcesem. 21 VIII 1981, podczas konferencji rzecznika prasowego KKP Janusza Onyszkiewicza, padły stwierdzenia, że „nie przyniosła ona strat gospodarczych, a wręcz oszczędności. [...] wykazała siłę Związku, o czym świadczyło nieukazanie się żadnej gazety, oprócz wydrukowanych w drukarniach wojskowych i rządowych”. Wg danych „S” (Biuletynu Pism Związkowych i Zakładowych „AS” nr 32) przez 2 dni na ok. 100 tytułów jedynie 4 ukazały się w niezmienionym nakł. i obj. Pozostałe, o ile w ogóle były drukowane, miały bardziej charakter ulotek niż gazet.', 'Zupełnie inaczej skuteczność akcji oceniło MSW: wg zebranych przez nie danych 19 VIII 1981 miano wydrukować i rozprowadzić 21 dzienników w zmniejszonym nakł., 9 – w wyższym, a pozostałe w planowanym. Podobnie miała wyglądać sytuacja w dniu następnym. Był to efekt działań podjętych przez władze, np. zaangażowania do kolportażu aktywu partyjnego, przy czym kolportaż ten w znacznej mierze odbywał się poza kioskami Ruchu.', '20 VIII 1981 protest został zakończony – z wyjątkiem rozpoczętego w tym dniu w Olsztyńskich Zakładach Graficznych strajku okupacyjnego, spowodowanego podaniem w „Dzienniku TV” komunikatu Prokuratury Generalnej o postawieniu protestującym zarzutu z powodu rzekomego uniemożliwiania przeciwnikom strajku podjęcia pracy. Protest w OZGraf został zakończony 5 IX w związku z rozpoczęciem obrad I KZD.', '', 'Grzegorz Majchrzak', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Grzegorz Majchrzak'],Polska,,,
Do Rzeczy,"['„Do Rzeczy”, podtytuł: „Dwutygodnik MKZ Jarosław/Biuletyn Informacyjny MKZ Jarosław”, wydawany przez MKZ/Międzyzakładową Komisję Związkową NSZZ „S” w\xa0Jarosławiu. Od IV 1981 do XI 1981 ukazało się 11 nr., numeracja ciągła (0–11, nr 10 i\xa0nr\xa011 podwójny), wydawany regularnie, druk offsetowy w\xa0Rzeszowie przez ZR „S”, format A4, nakł. ok.\xa0140 egz., obj. 16 s.\xa0W redakcji: Zbigniew Biliński (ps. Bil-kuczman), Kazimierz Iwosa (ps. K.\xa0Ivosse, Ivo), Anna Nepelska-Iwosa, Ryszard Bugryn, Jadwiga Misiąg, Kazimierz Ziobro, Ryszard Mendiuk, Stefan Pastuszewski, Paweł Niemkiewicz, Mateusz Pieniążek, Zdzisław Paszyński, Tomasz Perty (rysownik), Jerzy Popowski i\xa0Krzysztof Ziemba (fotoreporter). Pismo poruszało gł. tematy związkowe, art. o\xa0bieżących wydarzeniach w\xa0kraju, przedruki dokumentów, wywiady z\xa0działaczami związkowymi, wiersze, zdjęcia i\xa0rysunki satyryczne K.\xa0Iwosa. Kolportaż kanałami związkowymi wśród członków „S” w\xa0Jarosławiu, Przeworsku i\xa0okolicy.', 'Artur Brożyniak', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Artur Brożyniak'],Południowo-Wschodni,,,
Dodatek Historyczny,"['""Dodatek Historyczny"", pismo o profilu historycznym Porozumienia Prasowego Solidarność Zwycięży, wydawane 1986-1988 w Krakowie.', 'Ukazało się 5 nr. o obj. 2-4 s. w formacie A4, drukowanych na powielaczu białkowym w nakładzie 1,5-2 tys. egz. w drukarni Wilno im. gen. Leopolda Okulickiego Niedźwiadka w Zagórzanach; wychodziło nieregularnie.', 'W składzie redakcji: Piotr Hlebowicz (założyciel, redaktor, drukarz), Zbigniew Nowak (drukarz); współpracownicy: prof. Leszek Bednarczuk (Kraków), Władysława Morawiecka, Aurelia i Jerzy Lemańscy (Wrocław).', 'Zamieszczano teksty dot. najnowszej historii Polski.', 'Rozprowadzano przez sieć kolportażową PPSZ (Kraków, Nowa Huta, Bochnia, Brzesko, Tarnów, Rzeszów, Konin, Poznań) oraz we Wrocławiu.']",['Piotr Hlebowicz'],Małopolska,,,
Dodatek Polityczny,"['""Dodatek Polityczny"", pismo Porozumienia Prasowego Solidarność Zwycięży, wydawane 1983-1986 w Krakowie.', 'Ukazało się 17 nr. o obj. 4-6 s. w formacie A4, drukowanych początkowo na ramce, następnie na powielaczu białkowym w nakładzie ok. 2 tys. egz., w drukarni Wilno im. gen. Leopolda Okulickiego Niedźwiadka w Zagórzanach.', 'W składzie redakcji: Marian Stachniuk (twórca, główny redaktor), Piotr Hlebowicz, Zbigniew Nowak, Piotr Warisch; w redagowaniu i kolportażu uczestniczyli członkowie Małopolskiego Oddziału Liberalno-Demokratycznej Partii Niepodległość.', 'Pismo utworzone z myślą o wymianie poglądów i konfrontacji różnych wizji przyszłej niepodległej Polski.', 'Kolportowano najczęściej w Krakowie, Nowej Hucie, Bochni, Brzesku, Tarnowie.']",['Piotr Hlebowicz'],Małopolska,,,
Dolek,"[""„Dołek”, podtytuł: „Informator Górki”, pismo wydawane w Gdańsku przez Ośrodek Duszpasterstwa Akademickiego Górka przy Bazylice św. Mikołaja X 1980 – XI 1981; motto: ''Nam dzisiaj tak w duszach, jak kiedy się wiosna z zimowej wyrywa niemocy'' (Mieczysław Romanowski); od nr. 7/8 zamieszczano również logo."", 'Ukazały się 32 nr. o obj. 4 s. w formacie A5, drukowane techniką offsetową i kserograficzną, nakład nieustalony; pismo o numeracji ciągłej, z założenia tygodnik, wychodziło nieregularnie.', 'Patronat nad redakcją sprawował o. Sławomir Słoma. Autorzy m. in.: Przemysław Fenrych, Roman Rojek.', 'Dążono do kształtowania postaw młodzieży w duchu chrześcijańskim, wiele miejsca poświęcano zagadnieniom moralności w życiu publicznym, relacjonowano przebieg spotkań odbywających się w Bazylice.', 'Kolportowano na terenie kościoła po niedzielnych mszach.']",['Wojciech Turek'],Gdańsk,,,
Droga,"['""Droga"", pismo ROPCiO, od nr. 10 z 1980 KPN, wydawane w Warszawie VI 1978 – 13 XII 1981, następnie 1984-1989; założone przez Leszka Moczulskiego.', 'Ukazało się 29 nr. (do 13 XII 1981 11 nr., nr. 12 i 13 przygotowane do druku nie zostały wydane z powodu wprowadzenia stanu wojennego, 4 wydania specjalne) w formacie A4, drukowane na offsecie, nakład nieustalony.', 'W składzie zespołu: Leszek Moczulski, Andrzej Terlecki (adres redakcji podany w stopce: 00-378 Warszawa, ul. Jaracza 3/23; w nr. 29, wyd. po VI 1989: 90-418 Łódź, al. Kościuszki 41/30).', ""Publikowano analizy dot. m.in. historii najnowszej, spraw międzynarodowych, sytuacji Kościoła katolickiego, w nr. 1 wykorzystano materiały przygotowane przez L. Moczulskiego do majowej „Opinii” (m.in. reportaż Mariana Skulskiego ''Zwykła wieś o nazwie Wólka''), w nr. 7 oprac. L. Moczulskiego ''Rewolucja bez rewolucji'', w nr. 21/22 ''II proces KPN'', w nr. 24 ''III Pielgrzymka Jana Pawła II w Polsce 8-14 VI 1987''. Stosowano swoiste zabiegi redakcyjno-edytorskie, np. zamieszczono stenogram z dyskusji nt. opublikowanego w III 1978 przez NOWą programu gospodarczego ''Uwagi o sytuacji gospodarczej w kraju'', przy czym nazwiska 3 dyskutantów były pseudonimami jednej osoby – Stefana Kurowskiego; podobną metodę zastosowano dla wywiadu redakcji z Natalią Naruszewicz (czyli Leszkiem Moczulskim)."", ' Z inicjatywy L. Moczulskiego 20 VI 1979 w mieszkaniu Wandy Chylickiej (przy ul. Dobrej w Warszawie) odbyło się Forum Wolnego Słowa – spotkanie dyskusyjne z udziałem przedstawicieli innych pism niezależnych, ze względu na bojkot ze strony innych środowisk (zwłaszcza KSS KOR i Rady Sygnatariuszy ROPCiO) FWS nie odegrało większej roli, pozostało spotkaniem grupy skupionej wokół Rady Rzeczników ROPCiO.', '', 'Grzegorz Waligóra', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Grzegorz Waligóra'],Mazowsze,,,
Druk,"['„Druk”, tygodnik „S” Regionu Mazowsze wydawany II – X 1982 w Warszawie; od n-ru 7 podtytuł: „Tygodnik związkowy”. Ukazało się 21 n-rów (i dodatek poświęcony wydarzeniom z 1 i 3 V 1982), obj. 2–8 s., format A4 (nr 18 A5), druk na powielaczu, nakł. do 2 tys. egz. Po wydrukowaniu n-ru 2 SB skonfiskowała powielacz, co spowodowało przerwę w ukazywaniu się pisma. Nr 14 wydano dwukrotnie z różnymi datami (VI i 17 VIII). N-ry 14–15 zostały wydrukowane przez wydawnictwo Krąg. Redaktorem i autorem krótkich komentarzy dot. bieżącej sytuacji politycznej w kraju był Jacek Turski. Organizacją druku, transportem i kolportażem zajmował się Piotr Rzewuski. Publikowano przede wszystkim informacje z kraju i obszaru Mazowsza, krótkie komentarze oraz poezję, gł. anonimową. Kolportowane bezpłatnie w Warszawie i na Mazowszu.', 'Włodzimierz Domagalski', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Włodzimierz Domagalski'],Mazowsze,,,
Drukarnia Edwarda Grzelinskiego 1982,"['Drukarnia Edwarda Grzelińskiego (1982), drukarnia podziemnej „S”, z inicjatywy przew. „S” w Zakładach Przemysłu Jedwabniczego Wistil Arkadiusza Fabjanowskiego działała w 1982 w domu jednorodzinnym Edwarda Grzelińskiego przy ul. Miłkowskiego 4 w Kaliszu; przepisywano tu matryce dla wydawnictw TKK i drukowano ulotki. Edward Grzeliński, członek „S”, pracował w 1982 w Wistilu, był też członkiem TKK Regionu Wielkopolska Płd. w Kaliszu. Drukarnia działała do 4 XI 1982, kiedy o godz. 23.00 pod dom E. Grzelińskiego podjechały samochody z SB i ZOMO; uzbrojeni funkcjonariusze poszli prosto do garażu, gdzie mieściła się drukarnia; znajdowali się tam E. Grzeliński i Grażyna Grzelińska (jego żona), Mirosława Mencel i Wojciech Przybylski, których aresztowano (G. Grzelińską po 48 godz. zwolniono), zarekwirowano powielacz, matryce, farbę drukarską, 1319 sztuk ulotek „Związkowcy Regionu Wielkopolska Południowa”, 380 sztuk ulotek „Układamy krzyż kwietny”, 5 ryz papieru formatu A4. Aresztowanych drukarzy „S” przewieziono do AŚ w Kaliszu, nast. do Wrocławia; 27 XII 1982 Sąd Śląskiego Okręgu Wojskowego skazał E. Grzelińskiego i M. Mencel na 2 lata więzienia, W. Przybylskiego na 1,5 roku więzienia, wszystkich w zawieszeniu na 3 lata.']",['Grażyna Schlender'],Wielkopolska Południowa,,,
Drukarnia Wilno im gen L Okulickiego Niedzwiadka,"['Drukarnia „Wilno” im. gen. Leopolda Okulickiego „Niedźwiadka”, podziemna drukarnia będąca najważniejszym punktem poligraficznym Porozumienia Prasowego „Solidarność Zwycięży”, działająca w gospodarstwie Anny i Jerzego Hlebowiczów w Zagórzanach k. Gdowa. Umieszczona w specjalnie przygotowanym bunkrze o powierzchni ok. 14 m2, zbudowanym z betonu i stali w 1983 przez J. i Piotra Hlebowiczów, Józefa Mroczka, Józefa Janiszewskiego, Stanisława Dembowskiego, Jana Bryjaka, wg projektu Witolda Batora. Funkcjonowała od końca 1983 do 1989, nast. do 1993 jawnie.', 'Drukowano techniką offsetową, niekiedy przy pomocy ramki oraz powielacza białkowego, kilka razy techniką sitodruku. Oprócz gł. pisma podziemnego PP „SZ” pt. „Solidarność Zwycięży” (od 1989 jako „Solidarność Walcząca Zwycięży”, nast. „Solidarność Walcząca”), stale oraz okolicznościowo drukowano ponad 40 tytułów własnych lub na zmówienie in. struktur podziemnych, np. LDPN. Drukowano podziemne pisma m.in.: „Kurierek «B»”, „Vade Mecum”, „Dodatek Polityczny”, „Dodatek Historyczny”, „Niepodległość”, „Żywią i Bronią”, „Kłos”, „Tygodnik Mazowsze”, Biuletyn Dolnośląski”; ulotki i plakaty kalendarze, znaczki pocztowe i książki, np. komiks 1478 dni Nowej Huty, Kurier z Warszawy Jana Nowaka Jeziorańskiego. Za wykonany druk zamawiający płacili deficytowymi surowcami – papierem, farbą drukarską, matrycami białkowymi, blachami offsetowymi. W czasie strajków w V 1988 drukowano znaczącą część informatora strajkowego oraz ulotek dla Krakowa i Nowej Huty. Pocz. obsługą drukarni zajmowali się: P. Hlebowicz, Zbigniew Nowak, J. Mroczek, sporadycznie także J. Hlebowicz, A. Hlebowicz, Joanna Bryjak, J. Janiszewski, Marian Stachniuk, nast. dołączyli: Janina Jadwiga Chmielowska, Jerzy Lemański, Maciej Ruszczyński, Leonardas Vilkas. Transportem druków i materiałów (papier, farba, itp.) zajmowali się: W. Bator, J. Bryjak. J. Hlebowicz, M. Stachniuk. W 1985 drukarnię zwiedzał jeden z polityków brytyjskich (prawdopodobnie Colin Brever), którego przywieziono z Krakowa z opaską na oczach. Drukarnia nigdy nie odnotowała wpadki.', 'Piotr Hlebowicz|Mateusz Szpytma', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']","['Piotr Hlebowicz', 'Mateusz Szpytma']",Małopolska,,,
Druzyny Czarnej Trzynastki,"['Drużyny Czarnej Trzynastki. W 1979 Wojciech Ślęk założył w SP nr 23 w Toruniu drużynę harcerską Czarna Trzynastka, im. Zawiszy Czarnego. Drugą drużynę zorganizował w 1980 w SP nr 8, a jej prowadzenie wkrótce przejął Jacek Podolski. Obie drużyny prowadzone były w duchu przedwojennego harcerstwa, propagując jego ideały i odwołując się do Przyrzeczenia i Prawa Harcerskiego z 1936. Zarówno W. Ślęk, jak i J. Podolski związali się z powstałym w ramach ZHP w 1980 Kręgiem Instruktorów Harcerskich im. Andrzeja Małkowskiego. Drużyny Czarnej Trzynastki szybko rozwinęły się w szczep, skupiający ponad 200 dzieci, wydawały także w maszynopisie własne pismo „Czarna Chusta”. Po 13 XII 1981 wśród harcerzy Czarnej Trzynastki kolportowano wydawnictwa niezależne, brali też oni udział w rozrzucaniu ulotek. Łącznikiem pomiędzy Czarnym Kręgiem a RKW był Jacek Kalas. 15 IX 1982 Krąg Instruktorów Harcerskich w obawie przed represjami ogłosił samorozwiązanie, jednak instruktorzy działali nadal. W V 1983 zorganizowano Białą Służbę, obsługującą w Częstochowie pielgrzymkę Jana Pawła II. Pielgrzymkę miał poprzedzić zlot w Cierpicach k. Torunia w dn. 28-29 V 1983, ale SB przy poparciu Komendy Chorągwi uniemożliwiła jego zorganizowanie. Mimo zatrzymania najaktywniejszych instruktorów Biała Służba pełniła swe obowiązki podczas pielgrzymki. Od 1983 X w kościele p.w. Matki Boskiej Zwycięskiej odbywały się msze św. i spotkania harcerzy, prowadzone przez ks. Stanisława Kardasza i Andrzeja Piesika. Za organizację tych spotkań grono instruktorskie Czarnej Trzynastki postawiono przed komisją dyscyplinarną w ZHP, drużynę usunięto z SP nr 8, a w XII 1983 – rozwiązano. Odtąd w ZHP funkcjonował jedynie \n\n\tKrąg  \n Instruktorski Czarnej Trzynastki (tzw. Czarny Krąg). Jego uczestnicy spotykali się od 1984 w kościele oo. Jezuitów, w 1985 wydawali wraz ze starszymi harcerzami pismo „Nasz Ślad” (7 nr-ów). 28 V 1986 Rada Hufca ZHP Toruń rozwiązała Krąg Instruktorski. Jego aktywiści odwołali się od tej decyzji do Komendy Głównej ZHP, która – po wysłuchaniu sprawozdania specjalnie powołanej komisji – utrzymała tę decyzję w mocy. Instruktorzy wydali oświadczenie, w którym przedstawiali cele swojej pracy i krytykowali upolitycznienie harcerstwa oraz ingerencję SB w jego prace. 27 XI 1986 J. Podolski wydał rozkaz ostatecznie rozwiązujący Czarną Trzynastkę. Jej aktywiści zaczęli tworzyć niezależne harcerstwo, umundurowaniem i symboliką odbiegające od oficjalnego.']",['Krzysztof Biernacki'],Toruń,,,
